text,char_count
"Everyone just laughed, even some of the other girls. It felt like they have accepted that this is just how things are. Is it really just 'how things are'? My grandmother says men are the heads and women should just be quiet. It definitely hurts them.",250
"I feel like I have been carrying this heavy weight. Can we talk more about the, what did you call it, the healthy relationships aspect next time? Thank you, Madam. I feel much better knowing I am not the only one thinking about these things properly.",250
"I am growing so fast, my voice is cracking, and sometimes I just feel awkward when I walk into a room. Sometimes I feel like they are looking at me differently. Or maybe they are just looking at my height. It makes me want to hide sometimes. Exactly!",250
"It is just a piece of paper if I cannot access the clinic without fear, right? What about the other kids who do not even have someone to talk to like I have you? I want to be able to talk to my friends about this without them thinking I am being bad.",250
I am starting to see that it is not about me being less important. It is about everyone being able to contribute. What about SGBV? Is that related to this inequality? Like when someone thinks they have power over someone else because of their gender?,250
"I just wanted to quit the game entirely. Yes, sometimes at home. I try to be responsible and help my mother, but then my friends call me to go out late, and if I go, I get in trouble, and then I am grounded, and it feels like I am back to square one.",250
I thought I was sick or that I had hurt myself internally. I did not tell my mother because I was ashamed. Menstruation? Is that the same as what the older girls call their period? But why does it happen? Is it a sign that something is broken inside?,250
"They feel lonely and scared to even come to school. What kind of strategies, Aunty? Saying no is not always easy when everyone else is doing the wrong thing. I want to be a teacher one day, so I try to stay out of trouble. I will try to stay focused.",250
Why do you think the boys behave that way? I think they think it makes them look big or strong. They want to show they are in charge. Do you think there is a better way for them to show strength? Maybe by protecting the girls instead of teasing them?,250
"If I am sitting down while my mother and sister are rushing to cook and clean, it feels like I am taking advantage of them, even if my father says it is the right way. He would probably get angry. He does not like being questioned, especially by me.",249
"I am scared that if I speak up, he might do something worse to me. I feel like a statistic now, just another girl in Ghana dealing with this. Why is it that boys my age think they own us? I want to unlearn it. I want to finish school and be someone.",249
"My uncle, I guess. He is quite tech-savvy. What about when people argue on Facebook? It is hard when someone is being rude to you. So I should just ignore them? And turn off the computer? I feel like I have been a bit careless with my location tags.",249
They act like these things are taboo. Is it normal to feel moody or like you don't fit in? I worry sometimes that I am doing it wrong. I think I am just starting to realize that everyone goes through this. I wish we talked about this more at school.,249
"I have been feeling like I need to know more about my body, but it is so hard to find reliable information without feeling judged. Exactly. Even when I look for information, I feel like I am doing something wrong because of how people talk about it.",249
"Someone said a girl can’t get pregnant the first time, or that if you do it standing up, it’s safe. I don’t know what to believe. It feels like the world is full of traps. If I try to find out more, people look at me like I am doing something wrong.",249
"I know there are laws, but sometimes it feels like they don't apply to us in the village. I have heard the name, but I have never stepped foot there. It makes sense when you say it like that. It just feels like a big step. Oh, you mean social media?",249
"Even if I could sneak away, I do not have money for the transport fare to the main district hospital. It feels like everything is set up to keep us from getting the help we need. Like it is a secret meant only for adults. And what if I do get there?",249
"I talk to my auntie because she explains things about my cycle. I play football to release my energy when I feel frustrated. I write in a diary when I feel sad or overwhelmed. What is SGBV, Counselor? Is that why we are told not to follow strangers?",249
Sometimes they feel left out because they are busy working. We can share what we learn here with them so they don’t miss out. What about girls with disabilities? Sometimes they are ignored. I want to make sure I am doing my part to be a good friend.,249
Many of them think being a man means controlling a girl. It feels like a big mountain to climb. I want to tell my friends that it is not their fault if they get into trouble. Is it true that child marriage is against the law? And the age of consent?,249
"She had a baby last year, and the baby did not survive the first month. Why does this keep happening if everyone knows it is bad? That is a lot of girls. Are there more girls or boys in this situation? So it is mostly us girls who suffer this fate.",248
"Every time I walk past his classroom or have to hand in an assignment, he makes comments about how I look. He says things that make my skin crawl, like saying I am becoming a woman too fast and that I should pay more attention to him than my books.",248
"He is still going to school. He is still playing football like nothing happened. Why is it always us? Why do we have to pay the price for both of us? I feel so rejected already, and I haven't even told them yet. I feel like I am already an outcast.",248
